3, 于三, 白嫖, 47, 丁九, -1
87, 汪二, 赞美, 15, 何二, 1
12, 陈七, 送礼物, 69, 孟四, 1
44, 武六, 点赞, 72, 冯四, 1
40, 曹八, 打, 19, 侯四, -1
93, 韩大, 充电, 87, 汪二, 1
87, 汪二, 要挟, 71, 方六, -1
14, 郭七, 白嫖, 54, 谢六, -1
22, 尹五, 投币, 40, 曹八, 1
43, 周九, 骂, 69, 孟四, -1
99, 吕五, 打电话, 64, 唐二, 1
53, 潘五, 打, 33, 贺九, -1
6, 侯五, 白嫖, 52, 张大, -1
59, 秦五, 打电话, 80, 陈六, 1
10, 任二, 打电话, 74, 廖二, 1
4, 阎五, 打电话, 12, 陈七, 1
73, 陆九, 赞美, 74, 廖二, 1
22, 尹五, 送礼物, 3, 于三, 1
74, 廖二, 充电, 70, 戴五, 1
20, 方四, 欺骗, 29, 田八, -1
65, 武四, 充电, 75, 雷九, 1
23, 梁大, 点赞, 28, 姚七, 1
99, 吕五, 点赞, 42, 卢三, 1
93, 韩大, 欺骗, 32, 龙九, -1
89, 谭三, 充电, 81, 姚六, 1
50, 罗二, 欺骗, 47, 丁九, -1
76, 余大, 要挟, 26, 姜六, -1
48, 卢五, 送礼物, 47, 丁九, 1
84, 陆九, 送礼物, 98, 万大, 1
78, 段七, 打, 86, 魏六, -1
28, 姚七, 白嫖, 54, 谢六, -1
53, 潘五, 打电话, 91, 康八, 1
14, 郭七, 充电, 85, 汪九, 1
27, 牛三, 打电话, 6, 侯五, 1
73, 陆九, 打, 37, 田四, -1
55, 史五, 欺骗, 17, 施九, -1
67, 牛七, 帮助, 7, 叶大, 1
49, 贺五, 投币, 61, 郝二, 1
23, 梁大, 帮助, 84, 陆九, 1
48, 卢五, 要挟, 53, 潘五, -1
29, 田八, 点赞, 69, 孟四, 1
39, 邵二, 骂, 43, 周九, -1
13, 萧二, 点赞, 43, 周九, 1
67, 牛七, 白嫖, 100, 吕二, -1
41, 蒋七, 送礼物, 64, 唐二, 1
74, 廖二, 送礼物, 61, 郝二, 1
82, 范七, 要挟, 11, 陈八, -1
33, 贺九, 打电话, 32, 龙九, 1
90, 王七, 白嫖, 57, 张六, -1
90, 王七, 打, 42, 卢三, -1
74, 廖二, 投币, 17, 施九, 1
63, 洪三, 欺骗, 87, 汪二, -1
63, 洪三, 点赞, 75, 雷九, 1
69, 孟四, 帮助, 93, 韩大, 1
98, 万大, 骂, 19, 侯四, -1
11, 陈八, 打, 47, 丁九, -1
26, 姜六, 白嫖, 67, 牛七, -1
84, 陆九, 白嫖, 80, 陈六, -1
31, 白九, 帮助, 75, 雷九, 1
46, 方七, 打, 15, 何二, -1
88, 孔大, 要挟, 91, 康八, -1
42, 卢三, 要挟, 72, 冯四, -1
51, 洪九, 赞美, 10, 任二, 1
90, 王七, 帮助, 95, 毛六, 1
22, 尹五, 白嫖, 53, 潘五, -1
65, 武四, 投币, 65, 武四, 1
18, 牛九, 投币, 58, 彭二, 1
26, 姜六, 送礼物, 13, 萧二, 1
42, 卢三, 送礼物, 92, 石七, 1
53, 潘五, 点赞, 43, 周九, 1
86, 魏六, 骂, 86, 魏六, -1
40, 曹八, 打, 92, 石七, -1
97, 陈二, 帮助, 24, 丁三, 1
85, 汪九, 投币, 34, 卢七, 1
76, 余大, 打电话, 87, 汪二, 1
31, 白九, 欺骗, 81, 姚六, -1
9, 袁七, 白嫖, 58, 彭二, -1
41, 蒋七, 打, 68, 汪三, -1
28, 姚七, 帮助, 60, 方三, 1
93, 韩大, 欺骗, 31, 白九, -1
7, 叶大, 点赞, 7, 叶大, 1
30, 贾六, 白嫖, 74, 廖二, -1
44, 武六, 投币, 28, 姚七, 1
69, 孟四, 投币, 48, 卢五, 1
59, 秦五, 白嫖, 74, 廖二, -1
29, 田八, 充电, 86, 魏六, 1
18, 牛九, 帮助, 67, 牛七, 1
61, 郝二, 欺骗, 74, 廖二, -1
73, 陆九, 欺骗, 5, 徐三, -1
59, 秦五, 赞美, 25, 苏八, 1
85, 汪九, 帮助, 92, 石七, 1
32, 龙九, 要挟, 51, 洪九, -1
95, 毛六, 欺骗, 63, 洪三, -1
62, 郝七, 充电, 47, 丁九, 1
87, 汪二, 欺骗, 1, 萧七, -1
43, 周九, 骂, 52, 张大, -1
75, 雷九, 白嫖, 62, 郝七, -1
66, 万九, 投币, 54, 谢六, 1
80, 陈六, 点赞, 27, 牛三, 1
48, 卢五, 投币, 85, 汪九, 1
4, 阎五, 打电话, 87, 汪二, 1
27, 牛三, 帮助, 86, 魏六, 1
19, 侯四, 充电, 6, 侯五, 1
53, 潘五, 送礼物, 43, 周九, 1
57, 张六, 送礼物, 31, 白九, 1
54, 谢六, 白嫖, 86, 魏六, -1
94, 薛七, 送礼物, 69, 孟四, 1
21, 彭五, 打, 59, 秦五, -1
43, 周九, 欺骗, 64, 唐二, -1
25, 苏八, 赞美, 82, 范七, 1
53, 潘五, 打电话, 22, 尹五, 1
29, 田八, 打, 99, 吕五, -1
1, 萧七, 欺骗, 1, 萧七, -1
24, 丁三, 点赞, 32, 龙九, 1
45, 许八, 帮助, 46, 方七, 1
53, 潘五, 赞美, 67, 牛七, 1
19, 侯四, 投币, 3, 于三, 1
79, 范大, 白嫖, 98, 万大, -1
7, 叶大, 投币, 65, 武四, 1
32, 龙九, 白嫖, 36, 施九, -1
30, 贾六, 要挟, 83, 程四, -1
18, 牛九, 帮助, 39, 邵二, 1
89, 谭三, 充电, 71, 方六, 1
39, 邵二, 骂, 33, 贺九, -1
17, 施九, 帮助, 43, 周九, 1
36, 施九, 赞美, 77, 阎四, 1
2, 蔡九, 充电, 41, 蒋七, 1
77, 阎四, 白嫖, 3, 于三, -1
97, 陈二, 欺骗, 61, 郝二, -1
94, 薛七, 送礼物, 55, 史五, 1
7, 叶大, 打电话, 41, 蒋七, 1
83, 程四, 充电, 10, 任二, 1
61, 郝二, 白嫖, 53, 潘五, -1
22, 尹五, 赞美, 91, 康八, 1
37, 田四, 骂, 70, 戴五, -1
25, 苏八, 点赞, 72, 冯四, 1
64, 唐二, 送礼物, 30, 贾六, 1
29, 田八, 送礼物, 88, 孔大, 1
66, 万九, 白嫖, 90, 王七, -1
3, 于三, 赞美, 89, 谭三, 1
19, 侯四, 赞美, 21, 彭五, 1
55, 史五, 打电话, 64, 唐二, 1
29, 田八, 点赞, 2, 蔡九, 1
94, 薛七, 骂, 23, 梁大, -1
36, 施九, 充电, 27, 牛三, 1
73, 陆九, 赞美, 3, 于三, 1
75, 雷九, 帮助, 91, 康八, 1
76, 余大, 要挟, 31, 白九, -1
23, 梁大, 打电话, 15, 何二, 1
46, 方七, 点赞, 53, 潘五, 1
30, 贾六, 赞美, 66, 万九, 1
68, 汪三, 充电, 8, 段七, 1
91, 康八, 点赞, 77, 阎四, 1
37, 田四, 赞美, 29, 田八, 1
10, 任二, 赞美, 69, 孟四, 1
51, 洪九, 打, 68, 汪三, -1
59, 秦五, 送礼物, 16, 龙四, 1
80, 陈六, 打, 73, 陆九, -1
49, 贺五, 投币, 85, 汪九, 1
14, 郭七, 充电, 100, 吕二, 1
99, 吕五, 骂, 23, 梁大, -1
68, 汪三, 打, 18, 牛九, -1
97, 陈二, 打电话, 79, 范大, 1
59, 秦五, 充电, 81, 姚六, 1
83, 程四, 欺骗, 74, 廖二, -1
95, 毛六, 送礼物, 54, 谢六, 1
87, 汪二, 白嫖, 97, 陈二, -1
75, 雷九, 白嫖, 73, 陆九, -1
11, 陈八, 要挟, 94, 薛七, -1
60, 方三, 欺骗, 16, 龙四, -1
73, 陆九, 打电话, 3, 于三, 1
99, 吕五, 打, 2, 蔡九, -1
38, 董七, 欺骗, 16, 龙四, -1
18, 牛九, 要挟, 63, 洪三, -1
32, 龙九, 打电话, 68, 汪三, 1
72, 冯四, 赞美, 85, 汪九, 1
66, 万九, 要挟, 25, 苏八, -1
31, 白九, 充电, 2, 蔡九, 1
10, 任二, 骂, 15, 何二, -1
68, 汪三, 投币, 23, 梁大, 1
36, 施九, 赞美, 27, 牛三, 1
19, 侯四, 送礼物, 64, 唐二, 1
79, 范大, 赞美, 58, 彭二, 1
26, 姜六, 骂, 7, 叶大, -1
68, 汪三, 赞美, 74, 廖二, 1
54, 谢六, 帮助, 40, 曹八, 1
90, 王七, 帮助, 98, 万大, 1
60, 方三, 点赞, 38, 董七, 1
19, 侯四, 送礼物, 30, 贾六, 1
58, 彭二, 投币, 58, 彭二, 1
62, 郝七, 赞美, 84, 陆九, 1
64, 唐二, 帮助, 34, 卢七, 1
55, 史五, 送礼物, 11, 陈八, 1
73, 陆九, 充电, 3, 于三, 1
88, 孔大, 送礼物, 17, 施九, 1
68, 汪三, 骂, 94, 薛七, -1
23, 梁大, 赞美, 82, 范七, 1
68, 汪三, 要挟, 21, 彭五, -1
61, 郝二, 点赞, 17, 施九, 1
19, 侯四, 投币, 47, 丁九, 1
18, 牛九, 送礼物, 53, 潘五, 1
53, 潘五, 投币, 91, 康八, 1
83, 程四, 充电, 72, 冯四, 1
47, 丁九, 投币, 82, 范七, 1
7, 叶大, 点赞, 1, 萧七, 1
96, 卢三, 打电话, 57, 张六, 1
57, 张六, 骂, 99, 吕五, -1
7, 叶大, 打电话, 91, 康八, 1
17, 施九, 欺骗, 65, 武四, -1
93, 韩大, 欺骗, 64, 唐二, -1
64, 唐二, 骂, 78, 段七, -1
35, 贾二, 充电, 27, 牛三, 1
94, 薛七, 打电话, 83, 程四, 1
50, 罗二, 送礼物, 50, 罗二, 1
10, 任二, 白嫖, 84, 陆九, -1
97, 陈二, 赞美, 80, 陈六, 1
65, 武四, 送礼物, 42, 卢三, 1
47, 丁九, 要挟, 50, 罗二, -1
16, 龙四, 骂, 44, 武六, -1
36, 施九, 白嫖, 43, 周九, -1
95, 毛六, 骂, 5, 徐三, -1
36, 施九, 帮助, 65, 武四, 1
88, 孔大, 点赞, 4, 阎五, 1
74, 廖二, 欺骗, 46, 方七, -1
34, 卢七, 骂, 31, 白九, -1
33, 贺九, 投币, 47, 丁九, 1
65, 武四, 欺骗, 35, 贾二, -1
97, 陈二, 帮助, 44, 武六, 1
20, 方四, 赞美, 13, 萧二, 1
61, 郝二, 要挟, 26, 姜六, -1
35, 贾二, 要挟, 40, 曹八, -1
7, 叶大, 帮助, 95, 毛六, 1
15, 何二, 投币, 78, 段七, 1
99, 吕五, 送礼物, 100, 吕二, 1
30, 贾六, 欺骗, 2, 蔡九, -1
5, 徐三, 打, 17, 施九, -1
44, 武六, 要挟, 5, 徐三, -1
92, 石七, 充电, 71, 方六, 1
60, 方三, 要挟, 44, 武六, -1
56, 蔡四, 打电话, 77, 阎四, 1
24, 丁三, 点赞, 30, 贾六, 1
30, 贾六, 打, 2, 蔡九, -1
20, 方四, 打电话, 69, 孟四, 1
81, 姚六, 打电话, 93, 韩大, 1
44, 武六, 点赞, 96, 卢三, 1
60, 方三, 要挟, 27, 牛三, -1
60, 方三, 打, 15, 何二, -1
47, 丁九, 欺骗, 8, 段七, -1
50, 罗二, 打, 62, 郝七, -1
5, 徐三, 打电话, 58, 彭二, 1
29, 田八, 白嫖, 73, 陆九, -1
30, 贾六, 充电, 63, 洪三, 1
14, 郭七, 打, 2, 蔡九, -1
75, 雷九, 欺骗, 35, 贾二, -1
17, 施九, 投币, 42, 卢三, 1
46, 方七, 骂, 77, 阎四, -1
